conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Brand Management,"Ability to establish, organize, analyze, administer, and report on all aspects of a name, symbol, or design that identifies and differentiates products, offerings, or organizational identities.",Capability,,,,,,,
,Brand Definition,Ability to establish and identify a brand.,Capability,,Brand Management,,Brand Management,,,
,Brand Establishment,Ability to declare a brand.,Capability,,Brand Management,,Brand Definition,,,
,Brand Identification,Ability to recognize a brand.,Capability,,Brand Management,,Brand Definition,,,
,Brand Portfolio Management,"Ability to organize, aggregate, segment, and prioritize a collection of brands.",Capability,,Brand Management,,Brand Management,,,
,Brand Performance Management,"Ability to determine how well a brand is meeting specification and objective levels, or delivering against plan.",Capability,,Brand Management,,Brand Management,,,
,Brand Performance Threshold Setting,Ability to determine acceptable or unacceptable levels of performance for a brand.,Capability,,Brand Management,,Brand Performance Management,,,
,Brand Performance Threshold Measurement,Ability to determine if a brand is exceeding or falling short of an acceptable threshold of performance.,Capability,,Brand Management,,Brand Performance Management,,,
,Brand Performance Constraints Determination,Ability to assess what is causing a brand to underperform.,Capability,,Brand Management,,Brand Performance Management,,,
,Brand Loyalty Determination,Ability to assess and quantify the commitment and staying power that the brand has within the markets in which it has a presence.,Capability,,Brand Management,,Brand Management,,,
,Brand Awareness Determination,Ability to assess and quantify the degree of familiarity and recognition a brand has within and across various markets.,Capability,,Brand Management,,Brand Management,,,
,Brand Targeting,"Ability to identify and specify the stakeholders, markets, locations, and industry sectors marked for building brand awareness.",Capability,,Brand Management,,Brand Management,,,
,Brand Risk Management,"Ability to identify, assess, aggregate, articulate, and incorporate various exposures to harm, danger, or loss associated with a brand.",Capability,,Brand Management,,Brand Management,,,
,Brand Risk Level Determination,Ability to identify and define the level of risk associated with a brand.,Capability,,Brand Management,,Brand Risk Management,,,
,Brand Risk Threshold Determination,Ability to identify and define the level of acceptable risk associated with a brand.,Capability,,Brand Management,,Brand Risk Management,,,
,Brand Risk Aggregation,Ability to consider a collective set of risk factors about a brand and represent them from a rationalized perspective.,Capability,,Brand Management,,Brand Risk Management,,,
,Brand Access Management,"Ability to define, interpret, and enforce the right to view, use, or modify a brand or its component parts.",Capability,,Brand Management,,Brand Management,,,
,Brand Access Constraints Definition,Ability to determine access rights limitations for a brand.,Capability,,Brand Management,,Brand Access Management,,,
,Brand Access Constraints Interpretation,Ability to understand the access rights limitations for a brand.,Capability,,Brand Management,,Brand Access Management,,,
,Brand Access Enforcement,Ability to impose access rights limitations for a brand.,Capability,,Brand Management,,Brand Access Management,,,
,Brand Matching,Ability to associate a brand with other business objects.,Capability,,Brand Management,,Brand Management,,,
,Brand/Channel Matching,Ability to associate a brand with a channel.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Intellectual Property Rights Matching,Ability to associate a brand with an intellectual property right.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Infrastructure Matching,Ability to associate a brand with an infrastructure.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Message Matching,Ability to associate a brand with a message.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Partner Matching,Ability to associate a brand with a partner.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Plan Matching,Ability to associate a brand with a plan.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Policy Matching,Ability to associate a brand with a policy.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Public Sector Entity Matching,Ability to associate a brand with a public sector entity.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Strategy Matching,Ability to associate a brand with a strategy.,Capability,,Brand Management,,Brand Matching,,,
,Brand Information Management,"Ability to collect, organize, monitor, report on, and otherwise disseminate basic facts, statistics, attributes, and data about a brand.",Capability,,Brand Management,,Brand Management,,,
,Brand Profile Management,"Ability to articulate, organize, identify, track, validate, and otherwise administer descriptive, identifying information about a brand and their relationships.",Capability,,Brand Management,,Brand Information Management,,,
,Brand Type Management,"Ability to determine, modify, and interpret the category or classification of a brand.",Capability,,Brand Management,,Brand Information Management,,,
,Brand State Management,"Ability to determine, modify, and interpret the status or condition of a brand.",Capability,,Brand Management,,Brand Information Management,,,
,Brand History Management,"Ability to identify, record, and represent a chronological order of events and actions associated with a brand.",Capability,,Brand Management,,Brand Information Management,,,
,Brand Analytics Management,"Ability to identify, establish, validate, and articulate metrics and measures on historic and predictive determinations of a brand.",Capability,,Brand Management,,Brand Information Management,,,
,Campaign Management,"Ability to identify the need for, plan, design, execute, and measure the effectiveness of an outreach activity that targets a specific population, for example, constituents, human resources, partners, or patients, to achieve a certain goal such as marketing awareness, hiring activities, and health awareness.",Capability,,,,,,,
,Campaign Definition,Ability to establish and identify a campaign.,Capability,,Campaign Management,,Campaign Management,,,
,Campaign Establishment,Ability to declare a campaign.,Capability,,Campaign Management,,Campaign Definition,,,
,Campaign Identification,Ability to recognize a campaign.,Capability,,Campaign Management,,Campaign Definition,,,
