conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Acquire Asset,"The end-to-end perspective of acquiring an asset, from initiating and approving the asset request, to sourcing and processing procurement orders and delivering the asset to the requester.",Value Stream,,,,,,,
,Request Asset,The act of submitting a request for a new asset.,Value Stream Stage,,Acquire Asset,,Acquire Asset,1,,
,Approve Request,"The act of validating that the asset request meets the procurement, financial, and business justification criteria.",Value Stream Stage,,Acquire Asset,,Acquire Asset,2,,
,Source Supplier,The act of evaluating and selecting the supplier for the asset.,Value Stream Stage,,Acquire Asset,,Acquire Asset,3,,
,Finalize Partner Agreement,The act of establishing or updating an agreement with the selected supplier.,Value Stream Stage,,Acquire Asset,,Acquire Asset,4,,
,Place Order,The act of placing a procurement order to acquire the asset.,Value Stream Stage,,Acquire Asset,,Acquire Asset,5,,
,Receive Asset,"The act of fulfilling the order, receiving the asset, and accounting for the asset.",Value Stream Stage,,Acquire Asset,,Acquire Asset,6,,
,Acquire Coverage,The end-to-end perspective of obtaining coverage to indemnify against loss.,Value Stream,,,,,,,
,Initiate Interest,The act of expressing a desire to purchase coverage.,Value Stream Stage,,Acquire Coverage,,Acquire Coverage,1,,
,Approve Application,The act of validating that the coverage applied for is appropriate to meet the needs of the constituent.,Value Stream Stage,,Acquire Coverage,,Acquire Coverage,2,,
,Underwrite Risk,The act of reviewing the application to determine if the risk factors will be accepted prior to offering coverage.,Value Stream Stage,,Acquire Coverage,,Acquire Coverage,3,,
,Accept Offer,The act of accepting an offer for coverage as presented by the insurer.,Value Stream Stage,,Acquire Coverage,,Acquire Coverage,4,,
,Finalize Coverage,The act of obtaining the consent to the costs associated with providing coverage.,Value Stream Stage,,Acquire Coverage,,Acquire Coverage,5,,
,Arrange License,"The end-to-end perspective of applying for, qualifying for, and receiving a new or renewal of a license or permit.",Value Stream,,,,,,,
,Receive Application,Applicant completes and submits application with supporting documentation as required for the type of license requested.,Value Stream Stage,,Arrange License,,Arrange License,1,,
,Accept Application,"Determine if the application is complete and ready to be evaluated, e.g., all required information is present in the application.",Value Stream Stage,,Arrange License,,Arrange License,2,,
,Evaluate Application,Evaluate the match between the criteria for the specific type of license criteria and the data on the application.,Value Stream Stage,,Arrange License,,Arrange License,3,,
,Issue License,Perform the steps necessary to inform the applicant and initiate the delivery of the license artifact to the applicant.,Value Stream Stage,,Arrange License,,Arrange License,4,,
,Finalize Application,"Complete the recording of the decision for audit trail, inform other agencies, organizations as appropriate, process fees associated with the licensing process.",Value Stream Stage,,Arrange License,,Arrange License,5,,
,Conduct Audit,The end-to-end perspective of determining the degree to which the organization is adhering to established policies and regulations.,Value Stream,,,,,,,
,Request Audit,The act of requesting an audit.,Value Stream Stage,,Conduct Audit,,Conduct Audit,1,,
,Plan Audit,"The act of identifying the audit scope, including procedures, controls, measures, and execution plan.",Value Stream Stage,,Conduct Audit,,Conduct Audit,2,,
,Gather Audit Information,The act of discovering information pertinent to the audit scope.,Value Stream Stage,,Conduct Audit,,Conduct Audit,3,,
,Analyze Audit Information,The act of evaluating the information needed for the audit.,Value Stream Stage,,Conduct Audit,,Conduct Audit,4,,
,Document Audit Report,The act of compiling the results of the audit.,Value Stream Stage,,Conduct Audit,,Conduct Audit,5,,
,Publish Audit Report,The act of publishing the audit.,Value Stream Stage,,Conduct Audit,,Conduct Audit,6,,
,Conduct Investigation,"The end-to-end perspective of determining the degree to which the individual or organization is adhering to established policies and regulations, such as for financial, tax, or election violation probes.",Value Stream,,,,,,,
,Launch Investigation,The act of initiating an investigation.,Value Stream Stage,,Conduct Investigation,,Conduct Investigation,1,,
