conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Accreditation,"Category: Primary. An endorsement by a duly recognized and acknowledged third party that indicates ability, competence, knowledge, provenance, or quality.",Information Concept,,,,,,,
,Academic,Type for Accreditation,Information Concept Type,,Accreditation,,Accreditation,1,,
,Professional,Type for Accreditation,Information Concept Type,,Accreditation,,Accreditation,2,,
,Governmental,Type for Accreditation,Information Concept Type,,Accreditation,,Accreditation,3,,
,Pending,State for Accreditation,Information Concept State,,Accreditation,,Accreditation,1,,
,Active,State for Accreditation,Information Concept State,,Accreditation,,Accreditation,2,,
,Inactive,State for Accreditation,Information Concept State,,Accreditation,,Accreditation,3,,
,Accreditation -> Competency,Related information concept link from Accreditation to Competency,Information Concept Link,,Accreditation,,Accreditation,1,,Competency
,Accreditation -> Human Resource,Related information concept link from Accreditation to Human Resource,Information Concept Link,,Accreditation,,Accreditation,2,,Human Resource
,Accreditation -> Job,Related information concept link from Accreditation to Job,Information Concept Link,,Accreditation,,Accreditation,3,,Job
,Accreditation -> Partner,Related information concept link from Accreditation to Partner,Information Concept Link,,Accreditation,,Accreditation,4,,Partner
,Accreditation -> Policy,Related information concept link from Accreditation to Policy,Information Concept Link,,Accreditation,,Accreditation,5,,Policy
,Accreditation -> Public Sector Entity,Related information concept link from Accreditation to Public Sector Entity,Information Concept Link,,Accreditation,,Accreditation,6,,Public Sector Entity
,Agreement,Category: Primary. A set of legally binding rights and obligations between two or more legal entities.,Information Concept,,,,,,,
,Bilateral,Type for Agreement,Information Concept Type,,Agreement,,Agreement,1,,
,Multilateral,Type for Agreement,Information Concept Type,,Agreement,,Agreement,2,,
,Express,Type for Agreement,Information Concept Type,,Agreement,,Agreement,3,,
,Implied,Type for Agreement,Information Concept Type,,Agreement,,Agreement,4,,
,Pending,State for Agreement,Information Concept State,,Agreement,,Agreement,1,,
,In Force,State for Agreement,Information Concept State,,Agreement,,Agreement,2,,
,Terminated,State for Agreement,Information Concept State,,Agreement,,Agreement,3,,
,Abandoned,State for Agreement,Information Concept State,,Agreement,,Agreement,4,,
,Agreement -> Agreement,Related information concept link from Agreement to Agreement,Information Concept Link,,Agreement,,Agreement,1,,Agreement
,Agreement -> Asset,Related information concept link from Agreement to Asset,Information Concept Link,,Agreement,,Agreement,2,,Asset
,Agreement -> Channel,Related information concept link from Agreement to Channel,Information Concept Link,,Agreement,,Agreement,3,,Channel
,Agreement -> Constituent,Related information concept link from Agreement to Constituent,Information Concept Link,,Agreement,,Agreement,4,,Constituent
,Agreement -> Content,Related information concept link from Agreement to Content,Information Concept Link,,Agreement,,Agreement,5,,Content
,Agreement -> Energy,Related information concept link from Agreement to Energy,Information Concept Link,,Agreement,,Agreement,6,,Energy
,Agreement -> Financial Account,Related information concept link from Agreement to Financial Account,Information Concept Link,,Agreement,,Agreement,7,,Financial Account
,Agreement -> Government Service,Related information concept link from Agreement to Government Service,Information Concept Link,,Agreement,,Agreement,8,,Government Service
,Agreement -> Human Resource,Related information concept link from Agreement to Human Resource,Information Concept Link,,Agreement,,Agreement,9,,Human Resource
,Agreement -> Infrastructure,Related information concept link from Agreement to Infrastructure,Information Concept Link,,Agreement,,Agreement,10,,Infrastructure
,Agreement -> Partner,Related information concept link from Agreement to Partner,Information Concept Link,,Agreement,,Agreement,11,,Partner
,Agreement -> Payment,Related information concept link from Agreement to Payment,Information Concept Link,,Agreement,,Agreement,12,,Payment
,Agreement -> Policy,Related information concept link from Agreement to Policy,Information Concept Link,,Agreement,,Agreement,13,,Policy
,Agreement -> Time,Related information concept link from Agreement to Time,Information Concept Link,,Agreement,,Agreement,14,,Time
,Agreement Term,Category: Secondary. A legally enforceable condition set forth within the bounds of an agreement.,Information Concept,,,,,,,
,Survivable,Type for Agreement Term,Information Concept Type,,Agreement Term,,Agreement Term,1,,
,Non-survivable,Type for Agreement Term,Information Concept Type,,Agreement Term,,Agreement Term,2,,
,Pending,State for Agreement Term,Information Concept State,,Agreement Term,,Agreement Term,1,,
,In Force,State for Agreement Term,Information Concept State,,Agreement Term,,Agreement Term,2,,
